Time_Te,Te,Time_Ns,Ns,Time_Ia,Ia,Time_KW,KW
0.13584576,83.28871306,,,0.275,-51.48784796,,
0.136054615,90.22042897,,,0.276,-59.80902359,,
0.13687512,97.59935236,,,0.277,-63.98243387,,
0.137859725,104.9782758,,,0.278,-60.87291579,,
0.13884433,111.7422889,,,0.279,-51.05846571,,
0.141305843,116.354116,,,0.28,-35.84298767,,
0.14268429,109.959049,,,0.281,-20.36302419,,
0.143603255,102.7236047,,,0.282,0.030055605,,
0.144013507,96.3695318,,,0.283,20.53748623,,
0.144751961,88.99060841,,,0.284,38.66283057,,
0.145736566,81.91914016,,,0.285,51.56958006,,
0.146119468,74.71102518,,,0.286,61.45932272,,
0.146721172,67.77620366,,,0.287,64.02083177,,
0.147705777,60.39728027,,,0.288,59.79253479,,
0.148645627,53.49351483,,,0.289,51.11966966,,
0.149478066,46.56179891,,,0.29,37.72169978,,
0.150659592,41.33506151,,,0.291,19.36642949,,
0.153121105,40.41269609,,,0.292,0.153840778,,
0.153613408,45.63943349,,,0.293,-20.8244017,,
0.154598013,52.71090174,,,0.294,-35.82619473,,
0.155582618,59.47491485,,,0.295,-50.343575,,
0.156512523,66.71719151,,,0.296,-62.94113114,,
0.157340842,73.88138432,,,0.297,-61.29589534,,
0.157606529,80.86012801,,,0.298,-57.29149136,,
0.158536434,87.76078784,,,0.299,-47.02991075,,
0.159521039,94.83225609,,,0.3,-39.59741704,,
0.160505644,101.9037243,,,0.301,-19.50261977,,
0.163295359,107.8478571,,,0.302,-0.004866735,,
0.165483371,102.0403711,,,0.303,22.29550841,,
0.166577376,95.13971123,,,0.304,37.32030316,,
0.167594802,88.37569813,,,0.305,49.68677291,,
0.168437186,81.13342146,,,0.306,58.28108946,,
0.169411846,74.67996911,,,0.307,61.17369265,,
0.170406397,67.60539525,,,0.308,57.10416649,,
0.171828604,60.52026233,,,0.309,47.10258312,,
0.173633714,55.17054287,,,0.31,34.36704628,,
0.176259328,56.70781858,,,0.311,17.66679798,,
0.177367008,62.54946626,,,0.312,-1.145540997,,
0.178392639,68.80105413,,,0.313,-17.99518073,,
0.179951597,75.9237649,,,0.314,-36.00707132,,
0.181059278,82.84150558,,,0.315,-47.32333441,,
0.181893457,88.44402149,,,0.316,-54.58994308,,
0.183096864,95.27635796,,,0.317,-57.19815112,,
0.184206498,99.61977186,,,0.318,-54.49674972,,
0.187582287,101.7807423,,,0.319,-44.57158315,,
0.189059195,97.29189722,,,0.32,-29.32240199,,
0.190676761,91.62593819,,,0.321,-15.71477094,,
0.192013011,85.30114671,,,0.322,3.730686031,,
0.192997616,79.76695417,,,0.323,21.14065875,,
0.194868366,73.49486929,,,0.324,35.78553368,,
0.195951432,70.23584479,,,0.325,47.76215236,,
0.197428339,67.92993123,,,0.326,54.45476192,,
0.199988313,71.03522816,,,0.327,57.13351943,,
0.201957523,76.5694207,,,0.328,53.20837874,,
0.203705198,81.84227637,,,0.329,44.10091104,,
0.20508638,88.2390514,,,0.33,31.47615783,,
0.206782089,92.98752524,,,0.331,16.04654745,,
0.207930795,96.57450189,,,0.332,-4.394588915,,
0.211212812,98.21426265,,,0.333,-17.70700519,,
0.21268972,95.44716637,,,0.334,-34.46636496,,
0.214412779,92.37261496,,,0.335,-44.62476065,,
0.216135838,88.06824298,,,0.336,-51.50164865,,
0.217120443,84.07132615,,,0.337,-53.37499435,,
0.219089654,80.68931959,,,0.338,-48.23988771,,
0.222043469,79.30577146,,,0.339,-40.71375016,,
0.224669083,80.79180464,,,0.34,-27.53148425,,
0.226474193,84.37878129,,,0.341,-12.52537119,,
0.228279302,87.55581775,,,0.342,5.310397539,,
0.229920311,91.1427944,,,0.343,19.70967826,,
0.231889522,93.90989067,,,0.344,33.02206192,,
0.238453556,93.70492057,,,0.345,44.90377783,,
0.240258666,92.06515982,,,0.346,50.51650661,,
0.244197087,88.06824298,,,0.347,52.18393011,,
0.249612415,88.37569813,,,0.348,48.70130675,,
0.252238029,90.63036916,,,0.349,39.27527607,,
0.26003282,95.60089395,,,0.35,26.94564627,,
0.275439367,94.38289858,,,0.351,13.46426612,,
0.281907466,96.12356769,,,0.352,-2.605737599,,
0.296381162,97.9068075,,,0.353,-19.46709439,,
0.308360525,98.41923274,,,0.354,-31.29366051,,
0.316284253,99.09270591,,,0.355,-41.83037528,,
0.32813468,99.09819618,,,0.356,-47.20336823,,
0.341180699,98.52171779,,,0.357,-47.84108358,,
0.348072935,97.9068075,,,0.358,-43.82298626,,
0.356442079,96.67698694,,,0.359,-35.82557752,,
0.362349711,95.60089395,,,0.36,-24.4084809,,
0.370657317,93.44870796,,,0.361,-10.56350933,,
0.37741417,91.45024954,,,0.362,5.539483449,,
0.381713613,90.01545888,,,0.363,18.96645427,,
0.385816135,88.58066822,,,0.364,31.62638663,,
0.442230603,60.05788174,,,0.365,40.84007407,,
0.4928099,37.95305496,,,0.366,46.95771277,,
0.497381281,36.37185709,,,0.367,47.57832975,,
0.503148254,35.18595869,,,0.368,42.22996792,,
0.509985791,33.64868298,,,0.369,34.52154159,,
0.518519036,32.28221569,,,0.37,24.00511017,,
0.52874799,30.88158671,,,0.371,10.50100364,,
0.544829875,29.13934091,,,0.372,-5.165394756,,
0.55523387,28.60641866,,,0.373,-17.6049525,,
0.561732264,28.42194558,,,0.374,-27.99638717,,
0.571414215,27.90952034,,,0.375,-37.35886839,,
0.58175257,27.70455025,,,0.376,-41.60446613,,
0.59127042,27.49958016,,,0.377,-41.99373964,,
0.596685749,27.19212501,,,0.378,-37.81298215,,
0.608501011,27.19212501,,,0.379,-30.20194823,,
0.620540047,27.16417455,,,0.38,-19.74895312,,
0.628685418,27.19212501,,,0.381,-7.818782951,,
0.638262941,27.16417455,,,0.382,4.822684806,,
0.650206074,26.79682555,,,0.383,17.31314963,,
0.663862676,26.6051652,,,0.384,32.78455714,,
0.676214996,26.6051652,,,0.385,39.63798762,,
0.688254032,26.57721473,,,0.386,41.30348806,,
